批次	编号	优先级	大类	Reference 类型	测试文字	设计重点	色彩 / 材质方向	覆盖场景	入库 tags
第一批最优先	1	P0	鸟翼 / 鹰隼	黑紫电光乌鸦羽翼	TrLinda	乌鸦头部、黑紫展翼、闪电核心，整体冷冽但仍是圆润收藏品	黑紫、冷白、电蓝；透明玻璃、黑色羽片、少量电光线	Linda、乌鸦、闪电、battle	crow, raven, wing, lightning, dark, electric
第一批最优先	2	P0	鸟翼 / 鹰隼	银黑展翼鹰徽章	Zahira	展翼鹰徽章，灯头像金属队徽，中心文字清楚	银黑、冷金；拉丝金属、黑曜玻璃、徽章浮雕	Zahira、鹰、team、battle	eagle, wing, badge, silver_black, battle
第一批最优先	3	P0	鸟翼 / 鹰隼	阿拉伯猎鹰古金绿	موكة	猎鹰侧翼、棕榈叶、古金绿色徽章，带中东贵气	古金、祖母绿、深棕；黄铜、绿宝石、砂岩纹理	阿拉伯猎鹰、棕榈、强身份主播	falcon, palm, arabic, antique_gold, green
第一批最优先	4	P0	黑金动物	黑豹金箔奢华	MelNav	黑豹爪或豹头轮廓，爪片护翼，野性但不恐怖	黑曜、金箔、琥珀、烟棕；丝绒、镜面金属、黑色玻璃	Melissa、黑豹、黑金奢华、野性	panther, claw, gold_foil, obsidian, velvet, luxury
第一批最优先	5	P0	帽子 / 人设	宽檐礼帽公鸡	SraHat	宽檐帽做灯头主体，公鸡冠羽只做上方轮廓点	红、银、黑；漆面帽檐、金属冠羽、复古玻璃	Sombrero、礼帽、公鸡、复古人设	wide_hat, sombrero, rooster, crest, retro
第一批最优先	6	P0	帽子 / 人设	牛仔帽复古麦克风	Gokin	卷檐牛仔帽和老麦克风融合，像海岛驻唱礼物	珊瑚橙、海军蓝、奶油白；皮革、旧铜、麦克风金属网	Thai 主播、牛仔帽、驻唱、海岛音乐	cowboy_hat, microphone, island, retro_music
第一批最优先	7	P0	帽子 / 人设	猫耳酒红粉	Chemie	猫耳拱冠，灯头柔软俏皮，不要变成真实猫头	酒红、粉、黑、亮白；果冻树脂、亮面烤漆、柔软耳边	Chemie、猫耳、夜聊、玩闹	cat_ear, y2k, jelly_resin, playful, burgundy
第一批最优先	8	P0	音乐 / 夜场	复古麦克风紫红夜场	Genbro	复古麦克风作为灯头主体，外圈有声波环	紫红、深蓝、银；金属麦网、霓虹管、玻璃核心	音乐直播、rapper、GENBRO、Sunny	microphone, soundwave, nightclub, purple_red
第一批最优先	9	P0	音乐 / 夜场	DJ Headset 祖母绿夜店	Sassy	耳机环绕灯头，中心像夜店舞台光核	祖母绿、紫、黑、冷白；透明亚克力、金属耳机环	DJ、夜店、ZOMORODA、Sassy	dj, headphone, emerald, nightclub, club
第一批最优先	10	P0	Mascot / 食物	熊猫耳机蓝白 Fighter	KakMaa	熊猫圆耳和耳机合体，轻战队感，不要太幼稚	蓝白、黑、银；软胶、半透玻璃、耳机金属	Kak Maa、熊猫、耳机、fighter	panda, headphone, fighter, team, blue_white
第一批最优先	11	P0	徽章 / 战队	警徽电蓝玫紫	LtJohn	警徽盾牌灯头，警灯光冠，文字在徽章中心	电蓝、玫紫、银黑；镜面金属、警灯玻璃	Lieutenant John、警徽、秩序、badge	police_badge, shield, siren, blue_pink
第一批最优先	12	P0	奢品 / 夜聊	香水瓶金链琥珀黑	Duffy	香水瓶灯头，金链作为边缘结构，精致都市感	琥珀、黑、金；厚玻璃香水瓶、金链、镜面金属	B.DUFFY、香水、美妆、精致夜聊	perfume, chain, amber, black, luxury
第一批最优先	13	P0	特殊材质	火山熔岩紫红	Lava	黑曜火山岩外壳，熔岩裂纹核心，爆发力强	黑曜、紫红、熔橙；火山岩、熔岩玻璃、金属裂纹	keyashley、爆发力、火山、能量感	volcano, lava, obsidian, energy, purple_red
第一批最优先	14	P0	文字专项	中文 / 繁中浮雕核心	陽寶	中文立体浮雕字芯，圆润、清楚，不要伪字	暖黄、奶白、浅金；透明树脂、柔光字芯	中文/繁中主播、陽寶、嘎嘎	chinese, embossed, rounded_logo, clean_core
第一批最优先	15	P0	文字专项	泰文圆润 Logo 核心	โกคิน	泰文圆润字芯，短字要清楚，适合海岛/音乐兜底	珊瑚橙、奶白、海军蓝；果冻树脂、柔光核心	Thai 主播、โกคิน、海岛音乐	thai, rounded_logo, soft_glow
第一批最优先	16	P0	文字专项	长 Latin 弧形晶核	TeamZ	更宽的核心，适合较长社群名，字沿弧形排布但清晰	银白、烟紫、透明水晶；宽晶核、细边框	长 Latin、fan club、无强物象 fallback	long_latin, nameplate, clean_core, readable_text
第二批补覆盖	17	P1	鸟翼 / 鹰隼	羽翼 DJ 夜场	Zomo	羽翼包裹 DJ 耳机，兼顾鸟翼和夜店	紫、绿、黑、银；羽片、耳机金属、霓虹环	ZOMORODA、DJ、羽翼、夜场	wing, headphone, dj, nightclub, arabic
第二批补覆盖	18	P1	鸟翼 / 鹰隼	紫白蝴蝶天使翼	엘린	蝴蝶翼和天使羽融合，中心韩文字清楚	紫白、珠光、淡粉；透明树脂、珍珠漆	엘린장、蝴蝶、天使翼、韩文	butterfly, angel_wing, pearl, purple
第二批补覆盖	19	P1	黑金动物	金棕豹爪丝绒	Panthera	豹爪圆核、金属爪片、棕色短绒触感	金棕、琥珀、黑；丝绒、金属、宝石	黑金猛兽、爪片、奢华野性	claw, panther, velvet, mirror_metal, amber
第二批补覆盖	20	P1	帽子 / 人设	兜帽云朵冰蓝	Shiro	冰蓝兜帽包住云朵核心，清冷软萌	冰蓝、白、浅紫；磨砂玻璃、云朵软胶	shiro、云朵、兜帽、日系清冷	hood, cloud, icy_blue, soft, japanese
第二批补覆盖	21	P1	帽子 / 人设	皇冠帽檐街头	Xoliza	皇冠拱冠加短帽檐，街头但不杂乱	电蓝、玫红、白、金；吹制玻璃、软皮包覆	Rey、皇冠、棒球帽、街头	crown, baseball_cap, street, neon_blue, hot_pink
第二批补覆盖	22	P1	音乐 / 夜场	小太阳猫耳柔光麦克风	Sunny	日轮猫耳加小麦克风，温暖唱歌感	阳光黄、奶白、桃粉；透明果冻、柔光金属	陽寶 Sunny、太阳、猫、唱歌	sun, cat, microphone, warm_light, healing
第二批补覆盖	23	P1	音乐 / 夜场	海岛麦克风珊瑚蓝	Phuket	复古麦克风、棕榈/海浪小细节，海岛驻唱	珊瑚橙、海军蓝、奶油白；旧铜、贝母、玻璃	Thai 主播、海岛、驻唱	thai, island, microphone, coral, navy
第二批补覆盖	24	P1	Mascot / 食物	大象灯泡发电厂	Gaga	大象双耳包住灯泡电芯，幽默但产品化	紫、黄、烟灰；半透玻璃、哑光软胶	嘎嘎、大象、电力、中文社群	elephant, big_ear, bulb, electric, chinese
第二批补覆盖	25	P1	徽章 / 战队	战队圆环旗帜黄绿	Nation	圆环旗帜和徽章融合，有集结感	黄绿、黑、白；旗帜浮雕、亚克力灯芯	Nationteam、team、rally、热带	team, flag, ring, yellow_green, rally
第二批补覆盖	26	P1	徽章 / 战队	黑金女王徽章	Queen	黑金徽章、小皇冠、宝石核心	黑、金、红宝石；金属、黑曜石、珐琅	Queen、女王、皇冠、黑金	queen, crown, badge, black_gold, royal
第二批补覆盖	27	P1	徽章 / 战队	月桂胜利奖章	Victory	月桂冠包住圆形奖章，荣誉收藏感	金白、香槟、深蓝；金属、珠光树脂	award、honor、胜利、荣誉架	laurel, medal, victory, award, gold
第二批补覆盖	28	P1	奢品 / 夜聊	酒杯 Lounge 晶体	Omar	酒杯晶体化，不要像真实杯子道具	酒红、黑、金；切面水晶、镜面金属	mature、night talk、lounge、都市	wine_glass, lounge, burgundy, crystal
第二批补覆盖	29	P1	奢品 / 夜聊	珠宝链环夜色	Jewel	宝石链环作为灯头外圈，精致夜色	黑金、蓝宝石、冷白；链饰、宝石、玻璃	链饰、珠宝、夜聊、贵气	jewelry, chain, night, luxury
第二批补覆盖	30	P1	特殊材质	木箱宝藏黄铜	Andam	木质宝箱结构转成灯头，黄铜边框	木棕、黄铜、冰蓝；漆木、旧铜、玻璃核心	ANDAM、木箱、宝藏、黄铜	wood, treasure_chest, brass, aged
第二批补覆盖	31	P1	特殊材质	冰晶云泡泡	Cloudy	冰晶泡泡和云朵边缘，轻盈干净	冰蓝、白、透明紫；冰晶、气泡玻璃	云朵、冰蓝、透明材质差异	ice_crystal, cloud, bubble, icy_blue
第二批补覆盖	32	P1	特殊材质	棕榈徽章热带	Palm	棕榈叶徽章，热带但仍高级	绿、暖黄、贝母白；贝母、藤编、玻璃	海岛、热带、阳光、地域感	palm, island, tropical, mother_of_pearl
第二批补覆盖	33	P1	文字专项	阿拉伯书法心形	زهرة	阿拉伯书法清楚嵌入心形核心	玫瑰金、烟粉、珍珠白；珠光树脂	Arabic 主播、书法、浪漫/沙漠	arabic, calligraphy, heart, pearl
第二批补覆盖	34	P1	文字专项	日文清爽果冻核心	しろ	日文字芯清楚，浅绿透明果冻风	浅绿、奶白、柠檬黄；果冻树脂	Japanese/mixed、可爱、清爽	japanese, rounded_logo, jelly, fresh
第二批补覆盖	35	P1	文字专项	韩文紫白偶像核心	엘린	韩文字芯、紫白珠光、翼形边	紫白、珠光、银；珍珠漆、晶体核心	Korean、偶像、蝶翼/天使	korean, idol, purple_white, embedded_in_core
第三批增强差异	36	P2	黑金动物	蛇形黑金环绕	Sharu	黑金蛇形环绕中央宝石，神秘夜场	黑、金、深绿；蛇鳞浅浮雕、宝石	蛇、神秘、夜场、沙漠感	snake, orbit, black_gold, mystery, jewel
第三批增强差异	37	P2	黑金动物	龙鳞紫金闪电	Draco	龙鳞浅浮雕、紫金心核、闪电侧翼	紫、金、黑、电黄；水晶、金属、霓虹	龙、幻想、强 battle	dragon, scale, lightning, royal, fantasy
第三批增强差异	38	P2	音乐 / 夜场	声波广播圆环	Nima	圆形声波环、广播按钮、蓝白光	蓝白、银、黑；玻璃环、细金属线	Nima、电台、聊天、声波	soundwave, radio, talk, clean_modern
第三批增强差异	39	P2	音乐 / 夜场	唱片霓虹 Club	Vickay	唱片圆盘、霓虹轨道、夜店灯芯	黑、紫、青蓝、粉；黑胶、霓虹、镜面	rapper、party、节奏感	vinyl, club, rhythm, neon
第三批增强差异	40	P2	音乐 / 夜场	聚光灯舞台核心	Stage	小聚光灯灯头、舞台光束、镜面环	金、黑、白；镜面金属、玻璃光束	表演型主播、舞台、solo	spotlight, stage, performer, mirror_trim
第三批增强差异	41	P2	Mascot / 食物	猫爪肉球果冻	Maru	肉球中心、四粒趾垫、半透果冻	桃粉、奶白、浅绿；果冻树脂	宠物、肉球、小爪印	paw, pet, jelly_resin, soft, cute
第三批增强差异	42	P2	Mascot / 食物	产品结构化龟樱 v2	Gna	龟壳一体实体、樱桃鼓包，结构更完整	樱桃红、薄荷绿、奶油白；果冻树脂	G.na、龟壳、樱桃、可爱 mascot	turtle_shell, cherry, mascot, jelly, dual_motif
第三批增强差异	43	P2	Mascot / 食物	土豆 Quiz 礼帽	Spud	土豆椭圆主体、礼帽拱顶、霓虹题板	土豆棕、蓝、橙；陶感树脂、霓虹玻璃	Potato、quiz、礼帽、复古玩具	potato, hat, quiz, retro_toy
第三批增强差异	44	P2	Mascot / 食物	蜜瓜藤蔓奶油绿	Operis	蜜瓜切片核心、藤蔓手柄、奶油绿	蜜瓜绿、奶白、浅黄；果冻树脂	おっぺしゃん、蜜瓜、日文、清爽	melon, vine, fruit, cream_green, japanese
第三批增强差异	45	P2	Mascot / 食物	花叶治愈果冻	Bloom	花瓣护片、叶片底托、透明果冻核心	粉、绿、奶白；透明树脂、柔光叶片	温柔治愈、自然系、弱符号 fallback	flower, leaf, healing, translucent_resin
第三批增强差异	46	P2	徽章 / 战队	火炬 Rally 核心	Torch	火炬灯头、火焰晶芯、战队底座	橙、金、黑；火焰玻璃、金属	rally、leader、团结、竞技	torch, fire, rally, leader
第三批增强差异	47	P2	徽章 / 战队	盾牌蓝银守护	Guard	蓝银盾牌、圆润护甲边、中央字芯	蓝、银、白；金属、玻璃	守护、team、battle fallback	shield, protection, battle, blue_silver
第三批增强差异	48	P2	奢品 / 夜聊	礼盒缎带粉金	Gifted	礼盒弧面、缎带包裹、粉金果冻	粉、金、奶白；缎带、珠光树脂	gift、粉丝团、礼物感	gift, ribbon, soft_luxury, pink_gold
第三批增强差异	49	P2	奢品 / 夜聊	丝绒幕帘舞台	Diva	丝绒幕帘褶皱、圆拱舞台核心	酒红、金、黑；丝绒、金属	diva、舞台、优雅、夜场	velvet, curtain, stage, elegant
第三批增强差异	50	P2	特殊材质	圣诞绒球毛毡	Noel	红白绒球、毛毡包边、软灯芯	红、白、金；毛毡、绒球、柔光树脂	圣诞帽、节日、毛绒	santa_hat, pompom, felt, plush
